Param,Value,Dataset,Model,MAE,RMSE,MAPE,SMAPE,Train_Time
dropout,0.1,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,68.96633195877075
dropout,0.3,m4_hourly_dataset,PatchTST,1.7019384982814796,1.9342384827255734,371.9961792605917,132.40074629753033,26.422332525253296
dropout,0.1,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,1293.6475131511688
dropout,0.3,m4_hourly_dataset,TimesNet,1.7134155468281367,1.9332673323553227,345.0257698710553,139.2752632261257,330.1455397605896
hidden_dim,64.0,m4_hourly_dataset,PatchTST,1.64117877652746,1.8500589065975028,373.314390275179,128.63067768250892,28.740535020828247
hidden_dim,128.0,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,53.9763970375061
hidden_dim,256.0,m4_hourly_dataset,PatchTST,1.7513106271133232,1.9472526110676383,403.9800070899177,133.58867758804854,78.22713685035706
hidden_dim,64.0,m4_hourly_dataset,TimesNet,1.6927701270715652,1.8821833220400686,330.6234338540549,138.62239470150374,458.97997069358826
hidden_dim,128.0,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,913.9099631309509
hidden_dim,256.0,m4_hourly_dataset,TimesNet,1.6377204059199748,1.8434586019228791,314.1061285072287,139.0199657002702,910.6698327064514
horizon,12.0,m4_hourly_dataset,PatchTST,2.1275017706701482,2.2688144435590005,91.25244656956104,163.2455724699026,17.60588550567627
horizon,24.0,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,18.43569850921631
horizon,48.0,m4_hourly_dataset,PatchTST,1.8409691766156058,2.046909808869042,430.4861941200171,139.0205346702004,43.66962742805481
horizon,12.0,m4_hourly_dataset,TimesNet,2.2146974613914217,2.3285260627564086,101.74002687017163,166.52910229028564,219.69563007354736
horizon,24.0,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,255.93876481056213
horizon,48.0,m4_hourly_dataset,TimesNet,1.7089117330440182,1.9337919606931302,337.53085851480535,139.57161282924636,1075.021504163742
layers,2.0,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,17.96223282814026
layers,3.0,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,24.984843969345093
layers,4.0,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,42.7793607711792
layers,2.0,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,365.8437809944153
layers,3.0,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,418.55242395401
layers,4.0,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,380.52164363861084
lr,0.001,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,43.91952061653137
lr,0.0001,m4_hourly_dataset,PatchTST,1.569995075829924,1.7879319918558656,328.4307376070704,133.10696894450825,89.96697974205017
lr,0.001,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,556.5990180969238
lr,0.0001,m4_hourly_dataset,TimesNet,1.6269055452992671,1.8560235911075016,312.5710604819747,135.2437347198439,1174.9290883541107
window_size,48.0,dominick_dataset,PatchTST,3.184800764347464,3.406643140522768,104.41669083834802,180.3804298152144,9.731950998306274
window_size,48.0,dominick_dataset,TimesNet,3.175260922362755,3.391354606958131,100.39693547064303,190.0112081951657,152.90473175048828
window_size,48.0,m4_hourly_dataset,PatchTST,1.741700889717664,1.9503934565741714,385.5236909417285,135.07144962153427,9.218333721160889
window_size,96.0,m4_hourly_dataset,PatchTST,1.738595275966367,1.969665135734419,383.51537990094243,136.33491981644158,17.929553508758545
window_size,48.0,m4_hourly_dataset,TimesNet,1.5200062591469543,1.722830743381873,289.710985985656,130.22711662586178,150.95209503173828
window_size,96.0,m4_hourly_dataset,TimesNet,1.656193243705333,1.8488606200965656,307.8667195682564,142.34204337927403,226.84985780715942
