train_loss_epoch,epoch,step,train_loss_step
0.5871566534042358,0,0,
0.6493872404098511,1,1,
0.6193984746932983,2,2,
0.5661855340003967,3,3,
0.5478892922401428,4,4,
0.5716947317123413,5,5,
0.5731809735298157,6,6,
0.5041190981864929,7,7,
0.4679701626300812,8,8,
0.48259231448173523,9,9,
0.42567986249923706,10,10,
0.4197176694869995,11,11,
0.41683483123779297,12,12,
0.3932655155658722,13,13,
0.37575995922088623,14,14,
0.3825073838233948,15,15,
0.3855954110622406,16,16,
0.3660076856613159,17,17,
0.35038435459136963,18,18,
0.36901286244392395,19,19,
0.3689870834350586,20,20,
0.35988232493400574,21,21,
0.36227086186408997,22,22,
0.3765876591205597,23,23,
0.33263710141181946,24,24,
0.35276758670806885,25,25,
0.3540281057357788,26,26,
0.32498899102211,27,27,
0.32658150792121887,28,28,
0.33441290259361267,29,29,
0.33859390020370483,30,30,
0.33865639567375183,31,31,
0.3116343021392822,32,32,
0.3241981863975525,33,33,
0.29882708191871643,34,34,
0.3088023364543915,35,35,
0.3009355366230011,36,36,
0.29214581847190857,37,37,
0.3064904510974884,38,38,
0.3077051043510437,39,39,
0.301313191652298,40,40,
0.3069798946380615,41,41,
0.29427024722099304,42,42,
0.2968732416629791,43,43,
0.30098381638526917,44,44,
0.2921198904514313,45,45,
0.298149973154068,46,46,
0.28956714272499084,47,47,
0.267532080411911,48,48,
,49,49,0.28651657700538635
0.28651657700538635,49,49,
0.2878502905368805,50,50,
0.28713729977607727,51,51,
0.2789079248905182,52,52,
0.2716657519340515,53,53,
0.2712022066116333,54,54,
0.277240127325058,55,55,
0.27662327885627747,56,56,
0.2834908068180084,57,57,
0.2620558440685272,58,58,
0.2738605737686157,59,59,
0.28723132610321045,60,60,
0.26788330078125,61,61,
0.26332905888557434,62,62,
0.2700723707675934,63,63,
0.2697881758213043,64,64,
0.2584789991378784,65,65,
0.26151442527770996,66,66,
0.27303871512413025,67,67,
0.2597941756248474,68,68,
0.26198095083236694,69,69,
0.2675476372241974,70,70,
0.24421937763690948,71,71,
0.26942792534828186,72,72,
0.2528301477432251,73,73,
0.2567199766635895,74,74,
0.26912376284599304,75,75,
0.2565597593784332,76,76,
0.2485724240541458,77,77,
0.2527698278427124,78,78,
0.25699588656425476,79,79,
0.2537202835083008,80,80,
0.2643205225467682,81,81,
0.25314968824386597,82,82,
0.2463589608669281,83,83,
0.263100266456604,84,84,
0.2538268268108368,85,85,
0.25286635756492615,86,86,
0.25317373871803284,87,87,
0.2475455403327942,88,88,
0.24504077434539795,89,89,
0.26161718368530273,90,90,
0.2528025209903717,91,91,
0.25675761699676514,92,92,
0.25005868077278137,93,93,
0.25383201241493225,94,94,
0.26448768377304077,95,95,
0.24245336651802063,96,96,
0.25880053639411926,97,97,
0.24310621619224548,98,98,
,99,99,0.2652936577796936
0.2652936577796936,99,99,
